,average,stdev,best,worst,f_value_rank,p_value_rank,variance_rank,correlation_to_target_rank,LogisticRegression_rfe_rank_rank,XGBClassifier_rfe_rank_rank,RandomForestClassifier_rfe_rank_rank,XGBClassifier_feature_importance_rank,RandomForestClassifier_feature_importance_rank,LogisticRegression_SFS_rank_accuracy_score,XGBClassifier_SFS_rank_accuracy_score,RandomForestClassifier_SFS_rank_accuracy_score,KNeighborsClassifier_SFS_rank_accuracy_score,LogisticRegression_SBS_rank_accuracy_score,XGBClassifier_SBS_rank_accuracy_score,RandomForestClassifier_SBS_rank_accuracy_score,KNeighborsClassifier_SBS_rank_accuracy_score
Sex_male,11.0,15.917757379731606,1.0,42.0,1.0,1.0,38.0,1.0,1.0,1.0,10.0,1.0,4.0,1,1,32,1,41,42,3,8
Pclass_ordinal_encoded,12.588235294117647,12.165827260863786,2.0,41.0,5.0,5.0,10.0,5.0,3.0,2.0,22.0,2.0,13.0,10,13,28,13,3,41,36,3
Age*Fare,13.588235294117647,10.422684536201624,1.0,33.0,21.0,21.0,2.0,21.0,27.0,15.0,1.0,15.0,5.0,4,21,1,24,14,5,1,33
Sex_male_catboost_encoded,14.411764705882353,13.75253987237181,1.0,40.0,3.0,3.0,39.0,3.0,11.0,17.0,7.0,13.0,2.0,25,24,33,22,1,1,40,1
Fare,14.470588235294118,10.96082596715927,2.0,37.0,17.0,17.0,3.0,17.0,28.0,7.0,5.0,10.0,8.0,28,2,25,2,13,2,25,37
Age,15.117647058823529,12.99943437683529,2.0,39.0,32.0,32.0,9.0,32.0,6.0,6.0,9.0,4.0,10.0,12,6,4,39,2,14,5,35
Age*Fare_binned_5_woe_encoded,15.411764705882353,6.837934844759525,6.0,29.0,18.0,18.0,18.0,18.0,13.0,9.0,19.0,8.0,20.0,6,26,8,29,11,12,7,22
Age*Fare_binned_5_target_encoded,15.705882352941176,9.796457943322888,2.0,42.0,19.0,19.0,17.0,19.0,14.0,22.0,15.0,22.0,14.0,7,42,7,4,16,3,2,25
Sex_male_target_encoded,16.529411764705884,14.820246485209108,1.0,43.0,4.0,4.0,41.0,4.0,5.0,25.0,3.0,25.0,1.0,24,43,2,8,19,9,41,23
Embarked_Q_target_encoded,16.647058823529413,9.32698488574006,4.0,30.0,29.0,29.0,5.0,29.0,25.0,10.0,30.0,9.0,21.0,11,5,19,18,4,10,19,10
Age*Fare_binned_5_catboost_encoded,18.529411764705884,9.900237667973073,4.0,37.0,20.0,20.0,16.0,20.0,37.0,18.0,27.0,16.0,30.0,5,32,6,17,26,17,4,4
Pclass_ordinal_encoded_catboost_encoded,19.0,11.291589790636214,3.0,37.0,8.0,8.0,26.0,8.0,4.0,28.0,11.0,27.0,11.0,29,37,29,3,15,22,37,20
Age^2_binned_5_target_encoded,19.294117647058822,13.778446510230902,2.0,42.0,42.0,42.0,14.0,42.0,18.0,4.0,21.0,12.0,15.0,15,23,11,40,8,8,11,2
Sex_male_woe_encoded,19.88235294117647,15.905511438418038,2.0,43.0,2.0,2.0,37.0,2.0,2.0,29.0,4.0,29.0,3.0,17,40,34,19,43,24,42,9
Age^2,20.058823529411764,14.914215484879243,6.0,43.0,37.0,37.0,7.0,37.0,7.0,35.0,6.0,43.0,6.0,14,7,9,42,7,26,8,13
Pclass_ordinal_encoded_woe_encoded,20.470588235294116,12.908900258440024,3.0,40.0,7.0,7.0,34.0,7.0,20.0,27.0,13.0,23.0,12.0,3,17,31,26,40,4,39,38
Pclass_ordinal_encoded_target_encoded,20.529411764705884,13.124964985947694,3.0,43.0,6.0,6.0,31.0,6.0,24.0,14.0,8.0,14.0,9.0,22,3,30,30,37,43,38,28
